symbol,name,index,industry,price,monthly_high,retracement,pe_ratio,pb_ratio,market_cap,eastmoney_url
603215,比依股份,3848,未知,23.0,24.67,0.0676935549250102,37.37,3.4,4014568233.0,https://quote.eastmoney.com/concept/sh603215.html?from=classic
300189,神农种业,1917,未知,32.69,35.31,0.07419994335882199,-1331.16,7.44,5191680000.0,https://quote.eastmoney.com/concept/sz300189.html?from=classic
301662,宏工科技,4508,未知,105.41,127.0,0.17000000000000004,121.82,5.91,8448000000.0,https://quote.eastmoney.com/concept/sz301662.html?from=classic
688396,华润微,3025,未知,52.19,53.77,0.029384415101357732,203.96,3.02,67889853414.0,https://quote.eastmoney.com/concept/sh688396.html?from=classic
873132,泰鹏智能,2454,未知,61.46,69.77,0.11910563279346417,46.93,7.66,1964585280.0,https://quote.eastmoney.com/concept/sh873132.html?from=classic
603069,海汽集团,1282,未知,21.48,24.99,0.14045618247298913,-119.17,7.98,6620200000.0,https://quote.eastmoney.com/concept/sh603069.html?from=classic
835892,中科美菱,4219,未知,23.76,26.43,0.10102156640181605,96.11,3.45,2123244001.0,https://quote.eastmoney.com/concept/sh835892.html?from=classic
002639,雪人集团,3747,未知,35.62,41.59,0.1435441211829768,226.5,3.64,9023993439.0,https://quote.eastmoney.com/concept/sz002639.html?from=classic
603271,永杰新材,3430,未知,40.97,45.03,0.09016211414612485,21.46,2.92,7975028800.0,https://quote.eastmoney.com/concept/sh603271.html?from=classic
600356,恒丰纸业,5097,未知,14.91,15.51,0.03868471953578334,25.39,1.11,2846910032.0,https://quote.eastmoney.com/concept/sh600356.html?from=classic
871753,天纺标,4237,未知,31.47,33.85,0.07031019202363376,186.16,6.28,2353400279.0,https://quote.eastmoney.com/concept/sh871753.html?from=classic
002959,小熊电器,1062,未知,76.29,76.7,0.005345501955671402,15.84,3.02,8222544971.0,https://quote.eastmoney.com/concept/sz002959.html?from=classic
001696,宗申动力,3885,未知,416.45,424.48,0.018917263475311037,29.29,5.65,29621846420.0,https://quote.eastmoney.com/concept/sz001696.html?from=classic
002884,凌霄泵业,1623,未知,105.48,111.12,0.05075593952483801,15.06,3.04,6280904858.0,https://quote.eastmoney.com/concept/sz002884.html?from=classic
301272,英华特,2311,未知,44.0,44.61,0.01367406411118582,-305.6,2.49,2466456968.0,https://quote.eastmoney.com/concept/sz301272.html?from=classic
600072,中船科技,4297,未知,46.99,50.54,0.07024139295607434,-17.2,1.9,19750499854.0,https://quote.eastmoney.com/concept/sh600072.html?from=classic
000829,天音控股,1941,未知,155.15,161.3,0.0381277123372598,-95.79,3.71,10927570669.0,https://quote.eastmoney.com/concept/sz000829.html?from=classic
300608,思特奇,4096,未知,52.84,59.45,0.11118587047939443,-26.44,3.27,4657093252.0,https://quote.eastmoney.com/concept/sz300608.html?from=classic
833523,德瑞锂电,101,未知,107.44,111.9,0.03985701519213591,18.98,4.4,2808073949.0,https://quote.eastmoney.com/concept/sh833523.html?from=classic
688211,中科微至,2453,未知,36.48,37.65,0.031075697211155426,-44.7,1.34,4708959214.0,https://quote.eastmoney.com/concept/sh688211.html?from=classic
300256,星星科技,4024,未知,22.5,23.76,0.053030303030303094,-359.11,11.35,10457293509.0,https://quote.eastmoney.com/concept/sz300256.html?from=classic
605183,确成股份,2280,未知,23.09,24.45,0.05562372188139057,15.97,2.52,8816722674.0,https://quote.eastmoney.com/concept/sh605183.html?from=classic
300160,秀强股份,2330,未知,47.47,51.44,0.07717729393468116,18.65,1.91,4931397343.0,https://quote.eastmoney.com/concept/sz300160.html?from=classic
834639,晨光电缆,2815,未知,10.52,12.47,0.15637530072173222,165.07,2.21,1850688000.0,https://quote.eastmoney.com/concept/sh834639.html?from=classic
300095,华伍股份,5256,未知,44.51,52.23,0.14780777331035802,114.16,2.7,4511768361.0,https://quote.eastmoney.com/concept/sz300095.html?from=classic
600207,安彩高科,2285,未知,6.92,6.95,0.0043165467625899635,-13.06,2.15,5599066528.0,https://quote.eastmoney.com/concept/sh600207.html?from=classic
688598,金博股份,444,未知,70.9,73.87,0.0402057668877758,-19.11,1.28,6535094891.0,https://quote.eastmoney.com/concept/sh688598.html?from=classic
600332,白云山,3056,未知,34.27,34.65,0.010966810966810837,8.89,1.18,44741766916.0,https://quote.eastmoney.com/concept/sh600332.html?from=classic
300251,光线传媒,2738,未知,527.2,577.41,0.08695727472679712,7.59,6.0,61195071892.0,https://quote.eastmoney.com/concept/sz300251.html?from=classic
301335,天元宠物,1342,未知,50.4,61.33,0.17821620740257624,59.84,2.33,4483475924.0,https://quote.eastmoney.com/concept/sz301335.html?from=classic
002587,奥拓电子,2559,未知,51.38,52.97,0.03001699074948077,83.22,3.43,4528231884.0,https://quote.eastmoney.com/concept/sz002587.html?from=classic
688116,天奈科技,460,未知,74.96,77.55,0.03339780786589302,79.88,5.14,18577282885.0,https://quote.eastmoney.com/concept/sh688116.html?from=classic
300634,彩讯股份,510,未知,31.04,31.66,0.0195830701200253,50.71,4.84,13730347687.0,https://quote.eastmoney.com/concept/sz300634.html?from=classic
603392,万泰生物,5059,未知,175.38,230.83,0.24022007538014994,-267.01,6.35,76919464659.0,https://quote.eastmoney.com/concept/sh603392.html?from=classic
600570,恒生电子,4994,未知,1112.63,1171.03,0.04987062671323524,138.55,8.26,72189846922.0,https://quote.eastmoney.com/concept/sh600570.html?from=classic
300120,经纬辉开,1856,未知,30.48,35.63,0.1445411170362055,187.88,1.76,5290168086.0,https://quote.eastmoney.com/concept/sz300120.html?from=classic
688207,格灵深瞳,4179,未知,24.6,26.04,0.055299539170506826,-28.62,2.34,4570876045.0,https://quote.eastmoney.com/concept/sh688207.html?from=classic
300745,欣锐科技,225,未知,22.32,22.94,0.02702702702702707,-27.04,1.62,3687516602.0,https://quote.eastmoney.com/concept/sz300745.html?from=classic
603861,白云电器,608,未知,11.11,11.39,0.024582967515364453,34.75,1.35,5093069842.0,https://quote.eastmoney.com/concept/sh603861.html?from=classic
601118,海南橡胶,1938,未知,5.56,5.79,0.03972366148531959,-51.83,2.31,22466995934.0,https://quote.eastmoney.com/concept/sh601118.html?from=classic
301157,华塑科技,3901,未知,56.55,59.4,0.047979797979798004,109.14,3.13,3384000000.0,https://quote.eastmoney.com/concept/sz301157.html?from=classic
300451,创业慧康,1985,未知,104.0,108.56,0.04200442151805455,-142.56,2.02,8922958226.0,https://quote.eastmoney.com/concept/sz300451.html?from=classic
688373,盟科药业-U,4554,未知,7.38,8.8,0.16136363636363643,-17.99,15.92,4989157787.0,https://quote.eastmoney.com/concept/sh688373.html?from=classic
688350,富淼科技,267,未知,24.6,26.73,0.07968574635241298,134.07,2.17,2907174927.0,https://quote.eastmoney.com/concept/sh688350.html?from=classic
603308,应流股份,4642,未知,40.74,42.49,0.04118616144975288,50.88,3.98,19155618001.0,https://quote.eastmoney.com/concept/sh603308.html?from=classic
688627,精智达,4392,未知,102.8,108.19,0.04981976153064055,-145.9,5.74,9463223158.0,https://quote.eastmoney.com/concept/sh688627.html?from=classic
600679,上海凤凰,2227,未知,23.82,24.93,0.044524669073405514,73.37,3.37,7023460723.0,https://quote.eastmoney.com/concept/sh600679.html?from=classic
603688,石英股份,5147,未知,105.13,112.86,0.06849193691298958,103.99,3.85,22219643415.0,https://quote.eastmoney.com/concept/sh603688.html?from=classic
688058,宝兰德,872,未知,68.58,70.33,0.024882695862363146,-21.73,3.79,2639742621.0,https://quote.eastmoney.com/concept/sh688058.html?from=classic
301345,涛涛车业,5217,未知,199.54,203.19,0.017963482454845248,29.49,6.1,20182691160.0,https://quote.eastmoney.com/concept/sz301345.html?from=classic
301021,英诺激光,4974,未知,36.37,39.01,0.06767495513970778,-199.8,5.66,5500292342.0,https://quote.eastmoney.com/concept/sz301021.html?from=classic
002605,姚记科技,282,未知,129.47,146.03,0.1134013558857769,21.41,3.56,12052643272.0,https://quote.eastmoney.com/concept/sz002605.html?from=classic
600320,振华重工,4215,未知,52.05,54.76,0.04948867786705626,24.6,1.64,25130046200.0,https://quote.eastmoney.com/concept/sh600320.html?from=classic
