序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
3880,688516,奥特维,46.51,-0.89,-0.42,43917.0,206033870.0,2.39,47.49,46.37,46.85,46.93,0.74,1.51,9.43,3.39,14650624699.0,13525440128.0,0.0,0.13,40.85,-25.42
3892,600621,华鑫股份,15.2,-0.91,-0.14,180990.0,276762609.0,2.02,15.49,15.18,15.47,15.34,0.87,1.71,39.8,1.99,16125669238.0,16125669238.0,0.07,0.0,26.98,9.12
3896,000636,风华高科,15.13,-0.92,-0.14,123535.0,188357015.63,1.51,15.34,15.11,15.22,15.27,0.72,1.07,49.45,1.45,17505609882.0,17505609882.0,0.0,0.07,14.97,11.17
3901,600399,抚顺特钢,6.46,-0.92,-0.06,326721.0,211813395.0,1.69,6.55,6.44,6.47,6.52,0.79,1.66,30.26,1.92,12739766000.0,12739766000.0,0.0,-0.15,31.57,-33.13
3902,603355,莱克电气,22.6,-0.92,-0.21,11221.0,25511536.0,1.75,22.95,22.55,22.82,22.81,0.8,0.2,11.06,2.9,12961373234.0,12907673826.0,0.0,0.04,14.2,8.65
3908,688525,佰维存储,58.92,-0.92,-0.55,130679.0,775460989.0,2.98,60.3,58.53,59.49,59.47,1.02,4.18,83.54,10.36,25408680951.0,18414131907.0,-0.03,-0.1,37.76,-5.97
3913,002436,兴森科技,11.7,-0.93,-0.11,595590.0,702006591.41,3.81,12.04,11.59,11.75,11.81,0.63,3.97,-469.15,3.9,19768290902.0,17554834510.0,0.09,0.17,32.2,-20.3
3919,600559,老白干酒,21.22,-0.93,-0.2,164691.0,350761219.0,1.63,21.5,21.15,21.29,21.42,0.82,1.82,26.17,3.83,19410940762.0,19188640042.0,-0.05,0.09,25.41,-3.98
3931,603662,柯力传感,46.4,-0.94,-0.44,249492.0,1177358070.0,8.3,49.39,45.5,46.0,46.84,0.71,8.88,51.42,5.01,13068997366.0,13030505875.0,0.15,-0.54,114.42,30.12
3944,300181,佐力药业,16.7,-0.95,-0.16,103960.0,175098130.0,2.49,17.07,16.65,16.9,16.86,0.68,1.73,20.84,4.51,11713168495.0,10038077099.0,0.06,0.12,15.25,63.57
3952,600718,东软集团,10.37,-0.96,-0.1,155961.0,164140736.0,3.53,10.69,10.32,10.47,10.47,0.94,1.3,61.44,1.3,12482404963.0,12482404963.0,0.1,0.19,38.08,13.71
3961,300146,汤臣倍健,12.38,-0.96,-0.12,144841.0,180285382.0,2.08,12.58,12.32,12.5,12.5,0.82,1.28,18.18,1.86,21056466436.0,13989239790.0,0.0,0.16,13.06,-23.25
3986,688536,思瑞浦,100.54,-0.98,-1.0,20219.0,205623312.0,4.3,103.57,99.2,101.56,101.54,0.89,1.52,-101.28,2.48,13331749180.0,13331749180.0,0.0,0.05,31.22,-31.28
3998,300972,万辰集团,66.91,-0.99,-0.67,16660.0,112496166.0,3.8,68.78,66.21,67.58,67.58,0.67,1.07,107.44,13.15,12043114909.0,10421777549.0,0.33,0.5,136.51,78.24
3999,600997,开滦股份,6.98,-0.99,-0.07,64141.0,44891793.0,1.42,7.05,6.95,7.02,7.05,0.68,0.4,12.83,0.78,11082842960.0,11082842960.0,0.14,0.29,14.61,-4.25
